AÑOREG;DEPOCU;DEPREG;DIAOCU;EDADHOM;EDADMUJ;MESOCU;MESREG;MUPOCU;MUPREG;NACHOM;NACMUJ
2011;9;9;21;44;14;2;7;901;901;320;320
2011;1;1;7;999;999;4;8;101;101;320;40
2011;1;1;5;999;999;9;10;101;101;320;68
2011;18;18;6;999;999;7;8;1801;1801;320;124
2011;1;1;29;999;999;7;11;101;101;320;124
2012;1;1;27;36;37;12;2;101;101;222;170
2011;1;1;1;999;999;4;9;101;101;320;170
2011;1;1;14;999;999;4;7;101;101;320;170
2012;1;1;25;23;29;8;6;101;101;320;170
2012;1;1;14;999;999;9;6;101;108;320;170
2011;1;1;4;999;999;2;11;101;101;320;188
2011;21;21;4;999;999;10;11;2101;2101;320;188
2011;1;1;27;999;999;6;8;108;101;840;188
2011;1;1;25;29;32;3;5;101;101;320;192
2012;1;1;25;30;29;11;4;101;101;320;218
2011;1;1;25;999;999;5;7;101;101;320;218
2011;1;3;12;35;24;4;9;101;301;320;218
2011;1;1;15;25;23;8;9;115;115;320;222
2012;1;1;4;999;999;10;3;101;101;320;222
2011;1;1;14;999;999;4;9;101;115;320;222
2011;18;18;31;999;999;5;7;1801;1804;320;222
2011;1;1;8;999;999;7;11;101;101;320;222
2011;22;22;25;999;999;1;2;2201;2201;320;222
2012;16;1;26;999;999;8;4;1601;101;320;222
2011;6;6;6;999;999;6;6;601;608;320;222
2011;1;1;19;999;999;5;12;101;101;320;222
2011;1;22;19;999;999;5;7;101;2203;320;222
2011;1;1;4;999;999;11;12;101;101;320;222
2011;1;1;12;999;999;8;10;101;101;320;222
2011;1;1;24;999;999;6;7;101;101;320;276
2011;1;1;20;999;999;7;9;101;101;9999;276
2011;1;1;25;999;999;7;9;101;101;1020;276
2012;18;18;27;999;999;10;1;1801;1801;32;320
2011;1;1;8;999;999;9;10;101;101;32;320
2011;15;15;31;999;999;7;10;1507;1507;68;320
2011;4;4;24;999;999;5;6;401;401;124;320
2011;10;10;10;999;999;10;11;1001;1001;156;320
2012;6;6;12;56;20;9;1;601;611;156;320
2011;1;1;24;50;52;8;9;101;101;170;320
2011;1;1;8;999;999;9;10;101;101;170;320
2011;1;1;25;999;999;4;7;101;101;170;320
2011;1;1;7;999;999;3;4;101;101;188;320
2011;1;1;4;31;25;7;10;108;101;188;320
2011;1;1;7;39;31;7;9;101;101;188;320
2012;1;1;29;999;54;8;2;101;106;192;320
2011;1;1;5;999;999;10;11;101;101;192;320
2011;1;1;20;48;45;7;8;101;101;192;320
2011;13;13;14;41;34;3;4;1327;1327;192;320
2011;19;19;18;39;29;8;10;1901;1901;192;320
2011;1;1;16;31;36;8;11;101;101;192;320
2011;9;9;28;999;999;11;12;901;901;192;320
2011;10;1;18;999;999;8;11;1001;101;192;320
2011;15;15;1;999;29;2;3;1501;1501;192;320
2011;1;1;24;999;45;3;5;101;101;222;320
2011;1;1;10;999;41;3;4;101;101;222;320
2011;1;1;21;999;999;10;12;101;101;222;320
2011;1;1;24;34;34;5;10;101;101;222;320
2011;1;1;21;27;27;9;11;115;115;222;320
2011;1;1;14;24;23;7;8;101;101;222;320
2011;1;1;10;999;999;10;11;101;101;222;320
2011;1;1;15;999;999;2;3;101;101;222;320
2011;9;9;7;999;999;6;11;905;905;222;320
2011;1;1;10;999;999;8;9;101;101;222;320
2012;1;1;8;999;999;11;1;101;101;276;320
2011;1;3;28;999;999;9;12;108;301;276;320
2012;12;12;4;999;999;7;2;1215;1215;320;320
2011;16;16;21;30;33;2;5;1601;1601;320;320
2012;1;1;12;999;52;12;1;101;101;320;320
2011;11;11;24;34;999;6;8;1101;1101;320;320
2011;3;3;25;35;30;1;3;301;301;320;320
2012;15;15;26;30;27;7;1;1501;1503;320;320
2011;1;1;15;40;32;6;9;114;114;320;320
2011;6;6;9;38;999;3;4;601;608;320;320
2011;6;6;21;38;999;3;4;601;608;320;320
2011;1;1;23;20;17;8;9;114;107;320;320
2011;1;1;8;25;999;2;4;101;101;320;320
2012;1;1;12;999;999;9;3;101;101;320;320
2011;1;1;8;999;45;7;8;101;116;320;320
2011;1;1;20;38;34;1;5;101;117;320;320
2011;15;15;8;49;43;2;3;1504;1504;320;320
2011;1;1;28;38;37;3;10;108;101;320;320
2011;22;22;28;22;22;2;4;2202;2202;320;320
2011;1;1;1;999;38;9;9;101;101;320;320
2011;5;5;2;29;29;9;9;501;511;320;320
2012;1;19;2;999;999;12;2;101;1910;320;320
2011;22;22;13;999;999;10;11;2204;2204;320;320
2011;16;16;19;999;34;5;8;1601;1602;320;320
2011;22;22;19;999;23;1;3;2204;2204;320;320
2012;15;15;27;65;999;12;3;1501;1504;320;320
2012;15;15;25;60;999;10;5;1501;1503;320;320
2011;22;22;29;48;999;4;6;2202;2202;320;320
2012;9;9;29;50;46;9;2;905;905;320;320
2011;12;12;7;50;999;2;7;1215;1215;320;320
2011;5;5;28;27;999;2;5;501;509;320;320
2011;12;12;12;20;18;10;11;1222;1222;320;320
