DEPREG_LIMPIO,total_divorcios,edad_hom_media,edad_muj_media,edad_hom_std,edad_muj_std,prop_mes_1,prop_mes_2,prop_mes_3,prop_mes_4,prop_mes_5,prop_mes_6,prop_mes_7,prop_mes_8,prop_mes_9,prop_mes_10,prop_mes_11,prop_mes_12
Alta Verapaz,1401,35.808068459657704,31.893772893772894,9.922395742372776,9.572255027433076,0.07137758743754462,0.11206281227694503,0.11777301927194861,0.07637401855817273,0.08565310492505353,0.07209136331192005,0.08850820842255532,0.09421841541755889,0.0913633119200571,0.08779443254817987,0.0649536045681656,0.03783012134189864
Baja Verapaz,1009,34.85940594059406,31.326375711574954,10.838736548318419,10.195788978062879,0.0981169474727453,0.09117938553022795,0.08325074331020813,0.07631318136769079,0.08225966303270565,0.06442021803766106,0.10109018830525272,0.07928642220019821,0.07730426164519326,0.10307234886025768,0.08721506442021804,0.05649157581764123
Chimaltenango,1178,34.98606811145511,32.27786259541985,9.82236607793647,9.474852359208423,0.06536502546689305,0.09252971137521222,0.0933786078098472,0.07894736842105263,0.08149405772495756,0.07555178268251274,0.09083191850594227,0.09252971137521222,0.08913412563667232,0.10865874363327674,0.06536502546689305,0.06621392190152801
Chiquimula,1407,35.214285714285715,31.22776911076443,10.501605340616258,9.221641132228404,0.0845771144278607,0.09594882729211088,0.12011371712864251,0.0824449182658138,0.08599857853589196,0.08884150675195451,0.0867093105899076,0.09594882729211088,0.06823027718550106,0.07960199004975124,0.06396588486140725,0.047619047619047616
El Progreso,996,34.58165548098434,30.681614349775785,10.008826774239601,9.145366511188792,0.06827309236947791,0.09839357429718876,0.0783132530120482,0.07730923694779117,0.07228915662650602,0.071285140562249,0.06526104417670683,0.11345381526104417,0.09236947791164658,0.11244979919678715,0.08634538152610442,0.0642570281124498
Escuintla,2598,35.818098720292504,32.107594936708864,10.746722372961768,9.52682310921785,0.08083140877598152,0.08852963818321787,0.10892994611239415,0.08814472671285604,0.07582755966127791,0.08660508083140878,0.0804464973056197,0.1031562740569669,0.07967667436489607,0.09815242494226328,0.06620477290223249,0.0434949961508853
Guatemala,22339,36.17507318171583,33.29599548787366,9.801123184318442,8.874789033948447,0.07484668069295851,0.0901114642553382,0.10085500693853798,0.0850530462419983,0.08939522807645821,0.0903352880612382,0.09414029276153811,0.08814181476341823,0.07838309682617843,0.099556828864318,0.060924839965978785,0.04825641255203904
Huehuetenango,1724,35.205069124423964,32.075688073394495,10.370834453487934,9.98328135081126,0.08468677494199536,0.09280742459396751,0.08062645011600927,0.08584686774941995,0.0759860788863109,0.08062645011600927,0.08468677494199536,0.07830626450116009,0.0771461716937355,0.11948955916473318,0.0759860788863109,0.06380510440835267
Izabal,1821,36.38083538083538,32.800477897252094,10.248327558751471,9.142392961016146,0.071389346512905,0.085667215815486,0.10543657331136738,0.07523338824821527,0.08347062053816584,0.0900604063701263,0.09994508511806699,0.1043382756727073,0.09335529928610653,0.0829214717188358,0.060955518945634266,0.047226798462383306
Jalapa,1394,35.42909090909091,31.6423487544484,11.276515770184412,9.586189570452332,0.09540889526542325,0.08680057388809183,0.07532281205164992,0.06312769010043041,0.0781922525107604,0.07675753228120516,0.10186513629842181,0.09971305595408896,0.08034433285509325,0.10043041606886657,0.0746054519368723,0.06743185078909612
