DEPREG_LIMPIO,total_divorcios,edad_hom_media_div,edad_muj_media_div,edad_hom_std_div,edad_muj_std_div,prop_mes_1_div,prop_mes_2_div,prop_mes_3_div,prop_mes_4_div,prop_mes_5_div,prop_mes_6_div,prop_mes_7_div,prop_mes_8_div,prop_mes_9_div,prop_mes_10_div,prop_mes_11_div,prop_mes_12_div,total_matrimonios,edad_hom_media_mat,edad_muj_media_mat,edad_hom_std_mat,edad_muj_std_mat,prop_mes_1_mat,prop_mes_2_mat,prop_mes_3_mat,prop_mes_4_mat,prop_mes_5_mat,prop_mes_6_mat,prop_mes_7_mat,prop_mes_8_mat,prop_mes_9_mat,prop_mes_10_mat,prop_mes_11_mat,prop_mes_12_mat,tasa_divorcios_por_matrimonio,porcentaje_divorcios_guatemala,porcentaje_matrimonios_guatemala
Alta Verapaz,1401,35.808068459657704,31.893772893772894,9.922395742372776,9.572255027433076,0.07137758743754462,0.11206281227694503,0.11777301927194861,0.07637401855817273,0.08565310492505353,0.07209136331192005,0.08850820842255532,0.09421841541755889,0.0913633119200571,0.08779443254817987,0.0649536045681656,0.03783012134189864,52734,28.142513039355144,24.485290491455018,10.028015491667714,8.763154909487836,0.08595972238024804,0.09373459248302803,0.09107975878939584,0.07156673114119923,0.06551750293928016,0.05760989115181856,0.06532787196116357,0.07128228467402435,0.06786892706792581,0.09747032275192476,0.11064967573102742,0.12193271892896423,0.026567300034133576,0.0,0.0
Baja Verapaz,1009,34.85940594059406,31.326375711574954,10.838736548318419,10.195788978062879,0.0981169474727453,0.09117938553022795,0.08325074331020813,0.07631318136769079,0.08225966303270565,0.06442021803766106,0.10109018830525272,0.07928642220019821,0.07730426164519326,0.10307234886025768,0.08721506442021804,0.05649157581764123,13953,27.596344086021507,24.32358213235821,10.724838138493327,9.41280709785335,0.0857880025800903,0.0844262882534222,0.08958646885974342,0.07998279939797893,0.0736042428151652,0.06844406220884397,0.07410592704077976,0.08449795742851,0.06149215222532789,0.08191786712534939,0.09625170214290833,0.1199025299218806,0.07231419766358489,0.0,0.0
Chimaltenango,1178,34.98606811145511,32.27786259541985,9.82236607793647,9.474852359208423,0.06536502546689305,0.09252971137521222,0.0933786078098472,0.07894736842105263,0.08149405772495756,0.07555178268251274,0.09083191850594227,0.09252971137521222,0.08913412563667232,0.10865874363327674,0.06536502546689305,0.06621392190152801,38338,26.52028596028909,24.25549235505923,8.903786217596352,7.695150952149467,0.08412019406333142,0.0895977880953623,0.0878501747613334,0.08850226928895613,0.07762533256820908,0.06828733893265168,0.07149564400855549,0.07900777296676927,0.06494861495122332,0.08179873754499452,0.10451771088737023,0.10224842193124316,0.030726694141582765,0.0,0.0
Chiquimula,1407,35.214285714285715,31.22776911076443,10.501605340616258,9.221641132228404,0.0845771144278607,0.09594882729211088,0.12011371712864251,0.0824449182658138,0.08599857853589196,0.08884150675195451,0.0867093105899076,0.09594882729211088,0.06823027718550106,0.07960199004975124,0.06396588486140725,0.047619047619047616,16418,29.699061662198392,26.190203484830022,11.177046589138275,9.620566656476704,0.0869167986356438,0.09593129492020952,0.09824582775003045,0.08807406505055428,0.07242051406992325,0.06431964916555001,0.06541600682178098,0.07242051406992325,0.05786332074552321,0.0711414301376538,0.10561578755024972,0.12163479108295773,0.08569862346205384,0.0,0.0
El Progreso,996,34.58165548098434,30.681614349775785,10.008826774239601,9.145366511188792,0.06827309236947791,0.09839357429718876,0.0783132530120482,0.07730923694779117,0.07228915662650602,0.071285140562249,0.06526104417670683,0.11345381526104417,0.09236947791164658,0.11244979919678715,0.08634538152610442,0.0642570281124498,8476,31.374365632007553,27.559188008969667,12.041293212734347,10.404068305280036,0.07987258140632374,0.09414818310523831,0.0886031146767343,0.07031618688060406,0.0736196319018405,0.06677678150070789,0.07692307692307693,0.07645115620575743,0.07904672015101463,0.08034450212364323,0.09874941009910335,0.11514865502595564,0.1175082586125531,0.0,0.0
Escuintla,2598,35.818098720292504,32.107594936708864,10.746722372961768,9.52682310921785,0.08083140877598152,0.08852963818321787,0.10892994611239415,0.08814472671285604,0.07582755966127791,0.08660508083140878,0.0804464973056197,0.1031562740569669,0.07967667436489607,0.09815242494226328,0.06620477290223249,0.0434949961508853,36675,31.301401614310645,27.9265066812108,12.7310685770458,11.409325371490722,0.06628493524199046,0.08098159509202454,0.08313565098841172,0.0747375596455351,0.08188139059304704,0.08204498977505112,0.08790729379686435,0.08954328561690525,0.06718473074301295,0.07577368779822767,0.08433537832310839,0.1261895023858214,0.07083844580777096,0.0,0.0
Guatemala,22339,36.17507318171583,33.29599548787366,9.801123184318442,8.874789033948447,0.07484668069295851,0.0901114642553382,0.10085500693853798,0.0850530462419983,0.08939522807645821,0.0903352880612382,0.09414029276153811,0.08814181476341823,0.07838309682617843,0.099556828864318,0.060924839965978785,0.04825641255203904,156705,30.42747273087012,27.906806650285606,10.886449048561424,9.583246458790388,0.06461185029194984,0.08316901183752912,0.0885102581283303,0.07806387798730098,0.07092945343160716,0.06660285249353881,0.07875945247439456,0.08068664050285568,0.06830669091605246,0.08410708018250854,0.1152292524169618,0.12102357933697074,0.1425544813503079,39.644004330156704,20.83111779907054
Huehuetenango,1724,35.205069124423964,32.075688073394495,10.370834453487934,9.98328135081126,0.08468677494199536,0.09280742459396751,0.08062645011600927,0.08584686774941995,0.0759860788863109,0.08062645011600927,0.08468677494199536,0.07830626450116009,0.0771461716937355,0.11948955916473318,0.0759860788863109,0.06380510440835267,55915,29.37631465979824,26.261961401563255,12.185513194782224,10.786926801503954,0.08001430743092193,0.08176696771885898,0.09056603773584905,0.08811589019046767,0.07947777877134937,0.07103639452740768,0.0752392023607261,0.08629169274792095,0.07321827774300277,0.08409192524367343,0.09709380309398194,0.09308772243584011,0.030832513636770097,0.0,0.0
Izabal,1821,36.38083538083538,32.800477897252094,10.248327558751471,9.142392961016146,0.071389346512905,0.085667215815486,0.10543657331136738,0.07523338824821527,0.08347062053816584,0.0900604063701263,0.09994508511806699,0.1043382756727073,0.09335529928610653,0.0829214717188358,0.060955518945634266,0.047226798462383306,17143,32.437937879495564,28.357247095908004,12.554360173279251,10.86110808673535,0.059616169865251124,0.07344105465787786,0.08714927375605204,0.07670769410254914,0.07764101965816951,0.07104940792160065,0.08073266056116199,0.08341597153357055,0.06807443271306073,0.08154932042232982,0.10354080382663478,0.13708219098174182,0.10622411479904334,0.0,0.0
Jalapa,1394,35.42909090909091,31.6423487544484,11.276515770184412,9.586189570452332,0.09540889526542325,0.08680057388809183,0.07532281205164992,0.06312769010043041,0.0781922525107604,0.07675753228120516,0.10186513629842181,0.09971305595408896,0.08034433285509325,0.10043041606886657,0.0746054519368723,0.06743185078909612,14874,29.842848497074844,26.559701492537314,10.748759290744223,9.027019978805232,0.08437542019631572,0.10864595939222806,0.10629286002420331,0.09257765227914481,0.07946752722872126,0.06165120344224822,0.0646093855049079,0.07382008874546188,0.06017211241091838,0.07630765093451661,0.0927793465106898,0.09930079333064408,0.0937205862578997,0.0,0.0
